State,Electoral Votes,PVI,2016 result,Average Ratings,Cook,IE,Sabato,Politico,RCP,Niskanen,CNN,The Economist,CBS,270toWin,ABC,NPR,NBC,538,CNalysis,Safe R,Likely R,Lean R,Tilt R,Tossup,Safe D,Likely D,Lean D,Tilt D,Consensus,Max,Confidence
North Dakota,3,R+16,63.0% R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Likely R,Safe R,Solid R,Safe R,11,2,0,0,0,0,0,0,0,Safe R,11,0.7333333333333333
Ohio,18,R+3,51.7% R,Tossup,Tossup,Tilt R,Tossup,Lean R,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,0,0,1,1,12,0,0,0,0,Tossup,12,0.8
Oklahoma,7,R+20,65.3% R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Likely R,Safe R,Solid R,Safe R,11,2,0,0,0,0,0,0,0,Safe R,11,0.7333333333333333
Oregon,7,D+5,50.1% D,Safe D,Safe D,Safe D,Safe D,Likely D,Lean D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Likely D,Likely D,Solid D,Safe D,0,0,0,0,0,8,4,1,0,Safe D,8,0.5333333333333333
Pennsylvania,20,EVEN,48.2% R,Lean D  (flip),Lean D  (flip),Lean D  (flip),Lean D  (flip),Lean D  (flip),Tossup,Likely D  (flip),Tossup,Lean D  (flip),Lean D  (flip),Lean D  (flip),Lean D  (flip),Lean D  (flip),Lean D  (flip),Likely D  (flip),Lean D  (flip),0,0,0,0,2,0,2,10,0,Lean D,10,0.6666666666666666
Rhode Island,4,D+10,54.4% D,Safe D,Safe D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Likely D,Likely D,Solid D,Safe D,0,0,0,0,0,9,4,0,0,Safe D,9,0.6
South Carolina,9,R+8,54.9% R,Likely R,Likely R,Likely R,Likely R,Safe R,Lean R,Likely R,Safe R,Likely R,Likely R,Likely R,Safe R,Likely R,Likely R,Likely R,Likely R,3,10,1,0,0,0,0,0,0,Likely R,10,0.6666666666666666
South Dakota,3,R+14,61.5% R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Likely R,Safe R,Solid R,Safe R,11,2,0,0,0,0,0,0,0,Safe R,11,0.7333333333333333
Tennessee,11,R+14,60.7% R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Likely R,Safe R,Solid R,Safe R,11,2,0,0,0,0,0,0,0,Safe R,11,0.7333333333333333
Texas,38,R+8,52.2% R,Lean R,Lean R,Tilt R,Lean R,Lean R,Tossup,Tossup,Lean R,Lean R,Lean R,Lean R,Lean R,Lean R,Tossup,Lean R,,0,0,10,1,3,0,0,0,0,Lean R,10,0.6666666666666666
Utah,6,R+20,45.5% R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Safe R,Safe R,Safe R,Likely R,Likely R,Safe R,Likely R,Likely R,Solid R,Likely R,4,9,0,0,0,0,0,0,0,Likely R,9,0.6
Vermont,3,D+15,56.7% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Likely D,Safe D,Solid D,Safe D,0,0,0,0,0,11,2,0,0,Safe D,11,0.7333333333333333
Virginia,13,D+1,49.7% D,Likely D,Likely D,Safe D,Likely D,Likely D,Lean D,Safe D,Safe D,Likely D,Likely D,Likely D,Safe D,Lean D,Likely D,Solid D,Safe D,0,0,0,0,0,4,7,2,0,Likely D,7,0.4666666666666667
Washington,12,D+7,52.5% D,Safe D,Safe D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Likely D,Safe D,Solid D,Safe D,0,0,0,0,0,10,3,0,0,Safe D,10,0.6666666666666666
West Virginia,5,R+19,68.5% R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Likely R,Safe R,Solid R,Safe R,11,2,0,0,0,0,0,0,0,Safe R,11,0.7333333333333333
Wisconsin,10,EVEN,47.2% R,Lean D  (flip),Lean D  (flip),Tilt D  (flip),Lean D  (flip),Tossup,Tossup,Likely D  (flip),Lean D  (flip),Likely D  (flip),Lean D  (flip),Lean D  (flip),Lean D  (flip),Tossup,Lean D  (flip),Likely D  (flip),Tilt D  (flip),0,0,0,0,3,0,3,7,1,Lean D,7,0.4666666666666667
Wyoming,3,R+25,67.4% R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Likely R,Safe R,Solid R,Safe R,11,2,0,0,0,0,0,0,0,Safe R,11,0.7333333333333333
